Last,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext
404.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,50.0,3.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,C,zC,1.0,2.0,C4,P4,P4,0.38846153846153847,8.0,8.0
412.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,51.0,3.0,C2z,^C(2|4)z$,Abandoned Clausula Vera,A,Cz,0.0,2.0,F4,m7,M2,0.39615384615384613,8.0,20.0
432.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,54.0,1.0,C2T-2z,^C(2|4)T-2x?z?$,Clausula Vera,D,zCT,0.0,2.0,G3,P1,P5,0.4153846153846154,20.0,24.0
456.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,57.0,1.0,C1b,^C(1|3)b$,Evaded Authentic,G,CTb,1.0,3.0,E3,-m3,P8,0.43846153846153846,24.0,72.0
528.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,63.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,TC,1.0,4.0,G3,P1,P8,0.5076923076923077,72.0,36.0
564.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,66.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,4.0,C3,-P5,P4,0.5423076923076923,36.0,24.0
588.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,68.0,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,Ct,1.0,4.0,G3,P1,P8,0.5653846153846154,24.0,36.0
624.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,71.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,4.0,G3,P1,P8,0.6,36.0,48.0
672.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,75.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,C,CTB,1.0,4.0,C3,-P5,P4,0.6461538461538462,48.0,72.0
744.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,81.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CtB,1.0,4.0,G3,P1,P8,0.7153846153846154,72.0,60.0
804.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,87.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,4.0,C3,-P5,P4,0.7730769230769231,60.0,8.0
812.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,88.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,TC,1.0,3.0,C4,P4,P4,0.7807692307692308,8.0,32.0
844.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,92.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,4.0,G3,P1,P8,0.8115384615384615,32.0,12.0
856.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,94.0,1.0,T-2c-2z,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,czT,-1.0,2.0,F3,-M2,,0.823076923076923,12.0,20.0
876.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,96.0,3.0,A1b,^A(1|2|3|4)bx?z?$,Altizans Only,G,AbT,1.0,4.0,C3,-P5,P8,0.8423076923076923,20.0,16.0
892.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,98.0,3.0,C1x,^C(1|3)xz?$,Abandoned Authentic,C,Cx,1.0,3.0,A3,M2,P4,0.8576923076923076,16.0,8.0
900.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,99.0,3.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,C,zC,1.0,3.0,C4,P4,P4,0.8653846153846154,8.0,4.0
904.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,100.0,1.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,G,TC,0.0,4.0,B3,M3,P8,0.8692307692307693,4.0,16.0
920.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,102.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,TC,1.0,4.0,C4,P4,P4,0.8846153846153846,16.0,36.0
956.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,106.0,3.0,C2PT-1,^C(2|4)PT-1z?$,Phrygian,E,TCP,1.0,3.0,A3,M2,M6,0.9192307692307692,36.0,40.0
996.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,111.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,3.0,C3,-P5,P4,0.9576923076923077,40.0,44.0
1040.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Sanctus,117.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CtB,1.0,4.0,G3,P1,P8,1.0,44.0,16.0
48.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,7.0,1.0,C1b,^C(1|3)b$,Evaded Authentic,G,TCb,1.0,3.0,E4,M6,P8,0.08450704225352113,48.0,26.0
74.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,10.0,2.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,B,TC,1.0,4.0,G3,P1,M3,0.13028169014084506,26.0,18.0
92.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,12.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,TC,1.0,4.0,G3,P1,P8,0.1619718309859155,18.0,36.0
128.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,17.0,1.0,C1t2z,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,C,ztC,1.0,3.0,C4,P4,P4,0.22535211267605634,36.0,24.0
152.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,20.0,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,C,tC,1.0,4.0,C4,P4,P4,0.2676056338028169,24.0,28.0
180.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,23.0,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,C,tC,1.0,3.0,C3,-P5,P4,0.31690140845070425,28.0,20.0
200.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,26.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,3.0,A3,M2,M2,0.352112676056338,20.0,16.0
216.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,28.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,tCT,1.0,4.0,D3,-P4,P5,0.38028169014084506,16.0,12.0
228.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,29.0,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,TC,1.0,4.0,C4,P4,P4,0.4014084507042254,12.0,36.0
264.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,34.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CtB,1.0,4.0,G3,P1,P8,0.4647887323943662,36.0,44.0
308.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,38.0,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,5.0,G3,P1,P8,0.5422535211267606,44.0,19.0
327.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,40.0,4.5,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,G3,P1,,0.5757042253521126,19.0,13.0
340.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,42.0,3.0,C2b,^C(2|4)b$,Evaded Authentic,G,TCb,1.0,4.0,E3,-m3,P8,0.5985915492957746,13.0,12.0
352.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,44.0,1.0,T-2c-2,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,Tc,-1.0,4.0,C3,-P5,,0.6197183098591549,12.0,12.0
364.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,45.0,3.0,C2T-2u-3x,C2T-2u-3x,,G,TCux,,4.0,G3,P1,P8,0.6408450704225352,12.0,12.0
376.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,47.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,TC,1.0,3.0,C4,P4,P4,0.6619718309859155,12.0,12.0
388.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,48.0,3.0,C1T-2u-3x,^C1T-2u-3x$,Evaded Authentic,G,uTCx,1.0,3.0,G3,P1,P8,0.6830985915492958,12.0,24.0
412.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,51.0,3.0,T-2c5,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,cT,-1.0,3.0,F3,-M2,,0.7253521126760564,24.0,40.0
452.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,56.0,3.0,C2b,^C(2|4)b$,Evaded Authentic,A,CTb,1.0,4.0,F3,-M2,M2,0.795774647887324,40.0,4.0
456.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,57.0,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,E,CT,1.0,4.0,E3,-m3,M6,0.8028169014084507,4.0,4.0
460.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,57.0,3.0,BC2,^BC(2|4)x?z?$,Authentic,A,CB,0.0,4.0,A3,M2,M2,0.8098591549295775,4.0,12.0
472.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,59.0,1.0,C2b,^C(2|4)b$,Evaded Authentic,G,TCb,1.0,3.0,E4,M6,P8,0.8309859154929577,12.0,6.0
478.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,59.0,4.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,D,CT,0.0,4.0,D3,-P4,P5,0.8415492957746479,6.0,6.0
484.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,60.0,3.0,C2b,^C(2|4)b$,Evaded Authentic,A,TCb,1.0,4.0,F3,-M2,M2,0.852112676056338,6.0,12.0
496.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,62.0,1.0,C2b,^C(2|4)b$,Evaded Authentic,G,CTb,1.0,5.0,E3,-m3,P8,0.8732394366197183,12.0,4.0
500.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,62.0,3.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,D,CT,0.0,4.0,D3,-P4,P5,0.8802816901408451,4.0,24.0
524.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,65.0,3.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,D,CT,0.0,4.0,D3,-P4,P5,0.9225352112676056,24.0,8.0
532.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,66.0,3.0,BC2,^BC(2|4)x?z?$,Authentic,D,CB,0.0,5.0,D3,-P4,P5,0.9366197183098591,8.0,12.0
544.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,68.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CTB,1.0,5.0,G3,P1,P8,0.9577464788732394,12.0,2.0
546.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Agnus Dei,68.0,2.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,5.0,C3,-P5,P4,0.9612676056338029,2.0,38.0
